INSPIRE_ID;FORMA_OCHRONY;DOKLADNOSC_POLOZENIA;NAZWA;OBSZAR_AZP;NR_STANOWSIKA_OBSZAR;CHRONOLOGIA;FUNKCJA;WYKAZ_DOKUMENTOW;DATA_WPISU;WOJEWODZTWO;POWIAT;GMINA;MIEJSCOWOSC;LINK
PL.1.9.ZIPOZ.NID_A_02_AR.34115;rejestr zabytków;dokładny;Wrocław-Marszowice, st. 7;78-27;16;średniowiecze;grodzisko;96/Arch z 1965-02-03;1965-02-03;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.34115&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24480;rejestr zabytków;dokładny;Wrocław-Mokra, st. 1;78-26;35;średniowiecze;grodzisko;21/Ar z 1958-01-13, 28/Arch z 1964-06-16, 28/Arch/1964 z 2003-09-30;1958-01-13;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24480&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24473;rejestr zabytków;przybliżony;Wrocław-Muchobór Mały, st. Q;80-28;;epoka kamienia;ślad osadniczy;30/A z 1970-12-30;1970-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24473&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24595;rejestr zabytków;przybliżony;Wrocław-Muchobór Mały, st. Y;80-28;;epoka żelaza;osada;36/A z 1970-12-30;1970-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24595&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24513;rejestr zabytków;dokładny;Wrocław-Muchobór Mały, st. Z;80-28;;epoka brązu ;osada;37/A z 1970-12-30;1970-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24513&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24653;rejestr zabytków;dokładny;Wrocław-Muchobór Wielki, st. 10;80-27;28;średniowiecze;osada;284 z 1969-12-30;1969-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24653&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24611;rejestr zabytków;dokładny;Wrocław-Muchobór Wielki, st. 11;80-28;;średniowiecze;osada;283 z 1969-12-30;1969-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24611&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24616;rejestr zabytków;dokładny;Wrocław-Muchobór Wielki, st. 15;80-27;31;epoka żelaza;osada;302 z 1970-11-25;1970-11-25;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24616&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24632;rejestr zabytków;dokładny;Wrocław-Muchobór Wielki, st. 16;80-27;32;epoka żelaza;osada;304 z 1970-11-25;1970-11-25;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24632&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24650;rejestr zabytków;dokładny;Wrocław-Muchobór Wielki, st. 2,3;80-27;24,25;epoka brązu ;osada;286 z 1969-12-30;1969-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24650&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24636;rejestr zabytków;dokładny;Wrocław-Muchobór Wielki, st. 8;80-27;26;średniowiecze;osada;285 z 1969-12-30;1969-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24636&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24638;rejestr zabytków;dokładny;Wrocław-Muchobór Wielki, st. A;80-28;;średniowiecze;osada;298 z 1970-11-25;1970-11-25;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24638&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24589;rejestr zabytków;przybliżony;Wrocław-Muchobór Wielki, st. F;80-28;;średniowiecze;osada;303 z 1970-11-25;1970-11-25;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24589&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24489;rejestr zabytków;przybliżony;Wrocław-Nowy Dwór;80-28;;epoka żelaza;osada;299 z 1970-11-25;1970-11-25;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24489&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24586;rejestr zabytków;dokładny;Wrocław-Nowy Dwór, st. 14;80-27;30;epoka brązu ;osada;301 z 1970-11-25;1970-11-25;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24586&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24487;rejestr zabytków;dokładny;Wrocław-Nowy Dwór-Kuźniki, st. 3,4;79-27;157,158;epoka żelaza;osada;34/A z 1970-12-30;1970-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24487&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24527;rejestr zabytków;dokładny;Wrocław-Nowy Dwór-Kuźniki, st. 5;79-27;159;epoka żelaza;osada;35/A z 1970-12-30;1970-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24527&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24810;rejestr zabytków;dokładny;Wrocław-Opatowice, st. 1,2;80-29;54,55;epoka brązu ;osada;291 z 1969-12-30;1969-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24810&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24576;rejestr zabytków;dokładny;Wrocław-Oporów;80-28;;epoka brązu ;cmentarzysko ciałopalne;297 z 1970-11-25;1970-11-25;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24576&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24578;rejestr zabytków;dokładny;Wrocław-Oporów;80-28;;epoka brązu ;osada;296 z 1970-11-25;1970-11-25;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24578&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24557;rejestr zabytków;przybliżony;Wrocław-Oporów, st. 1;80-28;;epoka brązu ;osada;288 z 1969-12-30;1969-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24557&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24569;rejestr zabytków;dokładny;Wrocław-Oporów, st. 4;80-28;;epoka brązu ;osada;287 z 1969-12-30;1969-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24569&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24573;rejestr zabytków;dokładny;Wrocław-Oporów, st. A;80-28;;epoka kamienia;stanowisko archeologiczne;1282/717/Arch z 1993-01-19;1993-01-19;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24573&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24863;rejestr zabytków;dokładny;Wrocław-Osobowice, st. 1;79-28;14;epoka brązu ;grodzisko;294 z 1970-11-25;1970-11-25;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24863&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24860;rejestr zabytków;dokładny;Wrocław-Osobowice, st. 2;79-28;15;epoka brązu ;grodzisko;295 z 1970-11-25, 295/Arch/1970 z 2003-09-29;1970-11-25;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24860&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.85787;rejestr zabytków;przybliżony;Wrocław-Ołbin, st. 32;79-28;171;średniowiecze;zespół klasztorny/eremicki;214 z 1967-05-12, 849/Arch/76 z 1976-11-30;1967-05-12;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.85787&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24846;rejestr zabytków;przybliżony;Wrocław-Pawłowice, st. 18;78-29;20;średniowiecze;grodzisko;73/Arch z 1964-10-16;1964-10-16;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24846&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24866;rejestr zabytków;dokładny;Wrocław-Rędzin, st. 10,11,12;78-29;132-134;epoka brązu ;stanowisko archeologiczne;1245/680/Arch z 1991-10-18;1991-10-18;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24866&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24855;rejestr zabytków;przybliżony;Wrocław-Sołtysowice, st. 2;79-29;108;średniowiecze;grodzisko;290 z 1969-12-30;1969-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24855&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24816;rejestr zabytków;dokładny;Wrocław-Swojczyce, st. 25;80-29;15;epoka brązu ;osada;1279/714/Arch z 1993-02-15;1993-02-15;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24816&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24835;rejestr zabytków;dokładny;Wrocław-Swojczyce, st. 29;80-29;19;epoka brązu ;cmentarzysko ciałopalne;1278/713/Arch z 1993-02-15;1993-02-15;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24835&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24813;rejestr zabytków;dokładny;Wrocław-Swojczyce, st. 31;80-29;21;epoka brązu ;funkcja osadnicza/mieszkalna;1280/715/Arch z 1993-02-15;1993-02-15;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24813&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24879;rejestr zabytków;przybliżony;Wrocław-Widawa, st. 14,13;78-28;88,87;średniowiecze;osada;476/Arch z 1969-09-01;1969-09-01;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24879&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24882;rejestr zabytków;dokładny;Wrocław-Widawa, st. 2;78-28;76;średniowiecze;grodzisko;17/Arch/2003 z 2003-03-24;2003-03-24;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24882&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24876;rejestr zabytków;przybliżony;Wrocław-Widawa, st. 6;78-28;80;średniowiecze;grodzisko;475/Arch z 1969-09-01;1969-09-01;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24876&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24471;rejestr zabytków;przybliżony;Wrocław-Złotniki, st. 1;79-27;160;średniowiecze;grodzisko;1276/711/Arch z 1993-02-15;1993-02-15;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24471&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24468;rejestr zabytków;przybliżony;Wrocław-Złotniki, st. 2;79-27;161;średniowiecze;grodzisko;1277/712/Arch z 1993-01-15;1993-01-15;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24468&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24728;rejestr zabytków;dokładny;Wrocław-Żerniki, st. 1;80-27;41;epoka żelaza;osada;300 z 1970-11-25;1970-11-25;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24728&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24751;rejestr zabytków;dokładny;Wrocław-Żerniki, st. 25;79-27;121;średniowiecze;osada;305 z 1970-11-25;1970-11-25;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24751&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24705;rejestr zabytków;przybliżony;Wrocław-Żerniki, st. 26;79-27;122;epoka żelaza;ślad osadniczy;23/A z 1970-12-30;1970-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24705&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24690;rejestr zabytków;przybliżony;Wrocław-Żerniki, st. 27;79-27;123;epoka żelaza;osada;25/A z 1970-12-30;1970-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24690&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24742;rejestr zabytków;przybliżony;Wrocław-Żerniki, st. 28,29;79-27;124,125;epoka żelaza;osada;24/A z 1970-12-30;1970-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24742&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24665;rejestr zabytków;przybliżony;Wrocław-Żerniki, st. 30;79-27;126;epoka żelaza;osada;26/A z 1970-12-30;1970-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24665&rejestr=rejestr-zabytkow
PL.1.9.ZIPOZ.NID_A_02_AR.24675;rejestr zabytków;przybliżony;Wrocław-Żerniki, st. 31;79-27;127;epoka żelaza;osada;28/A z 1970-12-30;1970-12-30;dolnośląskie;Wrocław;Wrocław;Wrocław;https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_A_02_AR.24675&rejestr=rejestr-zabytkow
